Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37057060800,"Census Tract 608, Davidson County, North Carolina",36908,null,12028,null
1400000US37057060900,"Census Tract 609, Davidson County, North Carolina",38315,null,4810,null
1400000US37057061000,"Census Tract 610, Davidson County, North Carolina",41406,null,12202,null
1400000US37057061101,"Census Tract 611.01, Davidson County, North Carolina",54345,null,15986,null
1400000US37057061102,"Census Tract 611.02, Davidson County, North Carolina",55017,null,15157,null
1400000US37057061202,"Census Tract 612.02, Davidson County, North Carolina",51946,null,6934,null
1400000US37057061203,"Census Tract 612.03, Davidson County, North Carolina",33646,null,8399,null
1400000US37057061204,"Census Tract 612.04, Davidson County, North Carolina",37955,null,7818,null
1400000US37057061300,"Census Tract 613, Davidson County, North Carolina",41767,null,2875,null
1400000US37057061400,"Census Tract 614, Davidson County, North Carolina",23306,null,5114,null
1400000US37057061501,"Census Tract 615.01, Davidson County, North Carolina",30919,null,6276,null
1400000US37057061502,"Census Tract 615.02, Davidson County, North Carolina",72614,null,49778,null
1400000US37057061600,"Census Tract 616, Davidson County, North Carolina",37766,null,9688,null
1400000US37057061701,"Census Tract 617.01, Davidson County, North Carolina",56023,null,14569,null
1400000US37057061703,"Census Tract 617.03, Davidson County, North Carolina",53514,null,6059,null
1400000US37057061704,"Census Tract 617.04, Davidson County, North Carolina",63214,null,17624,null
1400000US37057061705,"Census Tract 617.05, Davidson County, North Carolina",63137,null,19577,null
1400000US37057061803,"Census Tract 618.03, Davidson County, North Carolina",50398,null,2379,null
1400000US37057061805,"Census Tract 618.05, Davidson County, North Carolina",51563,null,17188,null
1400000US37057061806,"Census Tract 618.06, Davidson County, North Carolina",56685,null,6270,null
1400000US37057061807,"Census Tract 618.07, Davidson County, North Carolina",65511,null,28664,null
1400000US37057061808,"Census Tract 618.08, Davidson County, North Carolina",52857,null,11699,null
1400000US37057061902,"Census Tract 619.02, Davidson County, North Carolina",42604,null,11674,null
1400000US37057061903,"Census Tract 619.03, Davidson County, North Carolina",28339,null,13689,null
1400000US37057061904,"Census Tract 619.04, Davidson County, North Carolina",44187,null,9118,null
1400000US37057062001,"Census Tract 620.01, Davidson County, North Carolina",54818,null,7576,null
1400000US37057062002,"Census Tract 620.02, Davidson County, North Carolina",50694,null,7974,null
1400000US37059080101,"Census Tract 801.01, Davie County, North Carolina",63750,null,13657,null
1400000US37059080102,"Census Tract 801.02, Davie County, North Carolina",74508,null,11745,null
1400000US37059080200,"Census Tract 802, Davie County, North Carolina",65681,null,5229,null
1400000US37059080301,"Census Tract 803.01, Davie County, North Carolina",94383,null,12912,null
1400000US37059080302,"Census Tract 803.02, Davie County, North Carolina",52332,null,41169,null
1400000US37059080400,"Census Tract 804, Davie County, North Carolina",74333,null,18860,null
1400000US37059080500,"Census Tract 805, Davie County, North Carolina",51990,null,7220,null
1400000US37059080600,"Census Tract 806, Davie County, North Carolina",44063,null,11997,null
1400000US37059080701,"Census Tract 807.01, Davie County, North Carolina",54142,null,19532,null
1400000US37059080702,"Census Tract 807.02, Davie County, North Carolina",39932,null,22944,null
1400000US37061090101,"Census Tract 901.01, Duplin County, North Carolina",54878,null,16828,null
1400000US37061090102,"Census Tract 901.02, Duplin County, North Carolina",37355,null,19652,null
1400000US37061090103,"Census Tract 901.03, Duplin County, North Carolina",53622,null,7940,null
1400000US37061090201,"Census Tract 902.01, Duplin County, North Carolina",70256,null,15015,null
1400000US37061090202,"Census Tract 902.02, Duplin County, North Carolina",44500,null,4438,null
1400000US37061090301,"Census Tract 903.01, Duplin County, North Carolina",38295,null,13361,null
1400000US37061090302,"Census Tract 903.02, Duplin County, North Carolina",35203,null,11703,null
1400000US37061090401,"Census Tract 904.01, Duplin County, North Carolina",37639,null,6947,null
1400000US37061090402,"Census Tract 904.02, Duplin County, North Carolina",49063,null,22596,null
1400000US37061090503,"Census Tract 905.03, Duplin County, North Carolina",52353,null,9819,null
1400000US37061090504,"Census Tract 905.04, Duplin County, North Carolina",68214,null,11449,null
1400000US37061090505,"Census Tract 905.05, Duplin County, North Carolina",51118,null,14363,null
1400000US37061090506,"Census Tract 905.06, Duplin County, North Carolina",54478,null,9725,null
1400000US37061090600,"Census Tract 906, Duplin County, North Carolina",54933,null,6884,null
1400000US37061090703,"Census Tract 907.03, Duplin County, North Carolina",102564,null,21508,null
1400000US37061090704,"Census Tract 907.04, Duplin County, North Carolina",32625,null,9865,null
1400000US37061090705,"Census Tract 907.05, Duplin County, North Carolina",37628,null,4000,null
1400000US37061090706,"Census Tract 907.06, Duplin County, North Carolina",50025,null,10876,null
1400000US37061090801,"Census Tract 908.01, Duplin County, North Carolina",41827,null,10599,null
1400000US37061090803,"Census Tract 908.03, Duplin County, North Carolina",55500,null,50924,null
1400000US37061090804,"Census Tract 908.04, Duplin County, North Carolina",35612,null,6956,null
1400000US37063000101,"Census Tract 1.01, Durham County, North Carolina",76339,null,14841,null
1400000US37063000102,"Census Tract 1.02, Durham County, North Carolina",48553,null,10875,null
1400000US37063000200,"Census Tract 2, Durham County, North Carolina",58750,null,25732,null
1400000US37063000301,"Census Tract 3.01, Durham County, North Carolina",47045,null,13537,null
1400000US37063000302,"Census Tract 3.02, Durham County, North Carolina",90156,null,20197,null
1400000US37063000401,"Census Tract 4.01, Durham County, North Carolina",106667,null,13422,null
1400000US37063000402,"Census Tract 4.02, Durham County, North Carolina",38456,null,5710,null
1400000US37063000500,"Census Tract 5, Durham County, North Carolina",35673,null,8053,null
1400000US37063000600,"Census Tract 6, Durham County, North Carolina",63389,null,10949,null
1400000US37063000700,"Census Tract 7, Durham County, North Carolina",66949,null,9594,null
1400000US37063000900,"Census Tract 9, Durham County, North Carolina",53125,null,21522,null
1400000US37063001001,"Census Tract 10.01, Durham County, North Carolina",29717,null,4066,null
1400000US37063001002,"Census Tract 10.02, Durham County, North Carolina",28595,null,5301,null
1400000US37063001100,"Census Tract 11, Durham County, North Carolina",27807,null,8032,null
1400000US37063001301,"Census Tract 13.01, Durham County, North Carolina",40729,null,14431,null
1400000US37063001303,"Census Tract 13.03, Durham County, North Carolina",44722,null,9132,null
1400000US37063001304,"Census Tract 13.04, Durham County, North Carolina",34176,null,4414,null
1400000US37063001400,"Census Tract 14, Durham County, North Carolina",38939,null,9170,null
1400000US37063001501,"Census Tract 15.01, Durham County, North Carolina",-,-,**,**
1400000US37063001503,"Census Tract 15.03, Durham County, North Carolina",-,-,**,**
1400000US37063001504,"Census Tract 15.04, Durham County, North Carolina",30000,null,7721,null
1400000US37063001505,"Census Tract 15.05, Durham County, North Carolina",35009,null,7408,null
1400000US37063001601,"Census Tract 16.01, Durham County, North Carolina",74026,null,5357,null
1400000US37063001603,"Census Tract 16.03, Durham County, North Carolina",71590,null,22200,null
1400000US37063001604,"Census Tract 16.04, Durham County, North Carolina",104038,null,19532,null
1400000US37063001705,"Census Tract 17.05, Durham County, North Carolina",67870,null,12711,null
1400000US37063001706,"Census Tract 17.06, Durham County, North Carolina",55080,null,14789,null
1400000US37063001708,"Census Tract 17.08, Durham County, North Carolina",59702,null,16566,null
1400000US37063001709,"Census Tract 17.09, Durham County, North Carolina",37322,null,6541,null
1400000US37063001710,"Census Tract 17.10, Durham County, North Carolina",65846,null,12217,null
1400000US37063001711,"Census Tract 17.11, Durham County, North Carolina",43237,null,11213,null
1400000US37063001712,"Census Tract 17.12, Durham County, North Carolina",96250,null,37347,null
1400000US37063001713,"Census Tract 17.13, Durham County, North Carolina",121146,null,29430,null
1400000US37063001801,"Census Tract 18.01, Durham County, North Carolina",54327,null,13027,null
1400000US37063001802,"Census Tract 18.02, Durham County, North Carolina",40858,null,7825,null
1400000US37063001806,"Census Tract 18.06, Durham County, North Carolina",65909,null,17171,null
1400000US37063001808,"Census Tract 18.08, Durham County, North Carolina",116191,null,13595,null
1400000US37063001809,"Census Tract 18.09, Durham County, North Carolina",64570,null,28800,null
1400000US37063001810,"Census Tract 18.10, Durham County, North Carolina",47278,null,16674,null
1400000US37063001811,"Census Tract 18.11, Durham County, North Carolina",92975,null,18580,null
1400000US37063001900,"Census Tract 19, Durham County, North Carolina",94918,null,4886,null
1400000US37063002007,"Census Tract 20.07, Durham County, North Carolina",74523,null,6158,null
1400000US37063002008,"Census Tract 20.08, Durham County, North Carolina",192500,null,69176,null
1400000US37063002009,"Census Tract 20.09, Durham County, North Carolina",37245,null,6821,null
1400000US37063002013,"Census Tract 20.13, Durham County, North Carolina",104000,null,22186,null
1400000US37063002015,"Census Tract 20.15, Durham County, North Carolina",44360,null,7403,null
1400000US37063002019,"Census Tract 20.19, Durham County, North Carolina",70707,null,14045,null
1400000US37063002020,"Census Tract 20.20, Durham County, North Carolina",166008,null,18608,null
1400000US37063002021,"Census Tract 20.21, Durham County, North Carolina",81213,null,18865,null
1400000US37063002022,"Census Tract 20.22, Durham County, North Carolina",62886,null,8807,null
1400000US37063002023,"Census Tract 20.23, Durham County, North Carolina",78947,null,16877,null
1400000US37063002024,"Census Tract 20.24, Durham County, North Carolina",97879,null,9747,null
1400000US37063002025,"Census Tract 20.25, Durham County, North Carolina",84583,null,12793,null
1400000US37063002026,"Census Tract 20.26, Durham County, North Carolina",49533,null,8788,null
1400000US37063002029,"Census Tract 20.29, Durham County, North Carolina",69401,null,4752,null
1400000US37063002030,"Census Tract 20.30, Durham County, North Carolina",145962,null,38905,null
1400000US37063002031,"Census Tract 20.31, Durham County, North Carolina",54653,null,18928,null
1400000US37063002032,"Census Tract 20.32, Durham County, North Carolina",45313,null,20021,null
1400000US37063002033,"Census Tract 20.33, Durham County, North Carolina",88491,null,27865,null
1400000US37063002034,"Census Tract 20.34, Durham County, North Carolina",93066,null,15380,null
1400000US37063002035,"Census Tract 20.35, Durham County, North Carolina",71087,null,9138,null
1400000US37063002036,"Census Tract 20.36, Durham County, North Carolina",43714,null,9453,null
1400000US37063002037,"Census Tract 20.37, Durham County, North Carolina",77370,null,13189,null
1400000US37063002038,"Census Tract 20.38, Durham County, North Carolina",83266,null,9472,null
1400000US37063002100,"Census Tract 21, Durham County, North Carolina",80476,null,29202,null
1400000US37063002200,"Census Tract 22, Durham County, North Carolina",84024,null,23478,null
1400000US37063002300,"Census Tract 23, Durham County, North Carolina",53827,null,6150,null
1400000US37063980100,"Census Tract 9801, Durham County, North Carolina",-,-,**,**
1400000US37065020200,"Census Tract 202, Edgecombe County, North Carolina",37178,null,3236,null
1400000US37065020300,"Census Tract 203, Edgecombe County, North Carolina",33895,null,8569,null
1400000US37065020400,"Census Tract 204, Edgecombe County, North Carolina",40156,null,10933,null
1400000US37065020600,"Census Tract 206, Edgecombe County, North Carolina",31918,null,6098,null
1400000US37065020700,"Census Tract 207, Edgecombe County, North Carolina",53375,null,12310,null
1400000US37065020800,"Census Tract 208, Edgecombe County, North Carolina",41611,null,14878,null
1400000US37065020900,"Census Tract 209, Edgecombe County, North Carolina",34943,null,9157,null
1400000US37065021000,"Census Tract 210, Edgecombe County, North Carolina",40192,null,15078,null
1400000US37065021100,"Census Tract 211, Edgecombe County, North Carolina",47446,null,9709,null
1400000US37065021200,"Census Tract 212, Edgecombe County, North Carolina",44816,null,15541,null
1400000US37065021300,"Census Tract 213, Edgecombe County, North Carolina",54000,null,9911,null
1400000US37065021400,"Census Tract 214, Edgecombe County, North Carolina",47422,null,9028,null
1400000US37065021500,"Census Tract 215, Edgecombe County, North Carolina",46680,null,10160,null
1400000US37065021600,"Census Tract 216, Edgecombe County, North Carolina",55398,null,19442,null
1400000US37067000100,"Census Tract 1, Forsyth County, North Carolina",67488,null,9640,null
1400000US37067000200,"Census Tract 2, Forsyth County, North Carolina",19844,null,17413,null
1400000US37067000301,"Census Tract 3.01, Forsyth County, North Carolina",19352,null,7143,null
1400000US37067000302,"Census Tract 3.02, Forsyth County, North Carolina",25759,null,2445,null
1400000US37067000400,"Census Tract 4, Forsyth County, North Carolina",25519,null,6010,null
1400000US37067000500,"Census Tract 5, Forsyth County, North Carolina",16223,null,6465,null
1400000US37067000600,"Census Tract 6, Forsyth County, North Carolina",28293,null,4189,null
1400000US37067000700,"Census Tract 7, Forsyth County, North Carolina",25227,null,6524,null
1400000US37067000801,"Census Tract 8.01, Forsyth County, North Carolina",11027,null,8049,null
1400000US37067000802,"Census Tract 8.02, Forsyth County, North Carolina",21910,null,9445,null
1400000US37067000900,"Census Tract 9, Forsyth County, North Carolina",31401,null,12662,null
1400000US37067001000,"Census Tract 10, Forsyth County, North Carolina",64492,null,8156,null
1400000US37067001100,"Census Tract 11, Forsyth County, North Carolina",41808,null,11577,null
1400000US37067001200,"Census Tract 12, Forsyth County, North Carolina",105250,null,24608,null
1400000US37067001300,"Census Tract 13, Forsyth County, North Carolina",51023,null,12747,null
1400000US37067001400,"Census Tract 14, Forsyth County, North Carolina",33791,null,7349,null
1400000US37067001500,"Census Tract 15, Forsyth County, North Carolina",40015,null,13818,null
1400000US37067001601,"Census Tract 16.01, Forsyth County, North Carolina",46293,null,8393,null
1400000US37067001602,"Census Tract 16.02, Forsyth County, North Carolina",19653,null,12486,null
1400000US37067001700,"Census Tract 17, Forsyth County, North Carolina",40343,null,6807,null
1400000US37067001800,"Census Tract 18, Forsyth County, North Carolina",48036,null,7819,null
1400000US37067001901,"Census Tract 19.01, Forsyth County, North Carolina",26264,null,3898,null
1400000US37067001902,"Census Tract 19.02, Forsyth County, North Carolina",44318,null,11526,null
1400000US37067002001,"Census Tract 20.01, Forsyth County, North Carolina",27373,null,8462,null
1400000US37067002002,"Census Tract 20.02, Forsyth County, North Carolina",31190,null,8739,null
1400000US37067002100,"Census Tract 21, Forsyth County, North Carolina",63750,null,9941,null
1400000US37067002200,"Census Tract 22, Forsyth County, North Carolina",65861,null,6566,null
1400000US37067002501,"Census Tract 25.01, Forsyth County, North Carolina",127969,null,40321,null
1400000US37067002502,"Census Tract 25.02, Forsyth County, North Carolina",156307,null,26578,null
1400000US37067002601,"Census Tract 26.01, Forsyth County, North Carolina",97188,null,30640,null
1400000US37067002604,"Census Tract 26.04, Forsyth County, North Carolina",91516,null,12698,null
1400000US37067002605,"Census Tract 26.05, Forsyth County, North Carolina",63217,null,13603,null
1400000US37067002606,"Census Tract 26.06, Forsyth County, North Carolina",68792,null,14452,null
1400000US37067002701,"Census Tract 27.01, Forsyth County, North Carolina",49713,null,9351,null
1400000US37067002702,"Census Tract 27.02, Forsyth County, North Carolina",38199,null,4599,null
1400000US37067002704,"Census Tract 27.04, Forsyth County, North Carolina",27045,null,4818,null
1400000US37067002705,"Census Tract 27.05, Forsyth County, North Carolina",36323,null,6460,null
1400000US37067002801,"Census Tract 28.01, Forsyth County, North Carolina",73462,null,11924,null
1400000US37067002804,"Census Tract 28.04, Forsyth County, North Carolina",53716,null,12478,null
1400000US37067002806,"Census Tract 28.06, Forsyth County, North Carolina",36776,null,10484,null
1400000US37067002807,"Census Tract 28.07, Forsyth County, North Carolina",61045,null,3298,null
1400000US37067002808,"Census Tract 28.08, Forsyth County, North Carolina",64766,null,18734,null
1400000US37067002809,"Census Tract 28.09, Forsyth County, North Carolina",72875,null,5367,null
1400000US37067002901,"Census Tract 29.01, Forsyth County, North Carolina",47286,null,7709,null
1400000US37067002903,"Census Tract 29.03, Forsyth County, North Carolina",50270,null,16034,null
1400000US37067002904,"Census Tract 29.04, Forsyth County, North Carolina",50033,null,14569,null
1400000US37067003002,"Census Tract 30.02, Forsyth County, North Carolina",59012,null,8977,null
1400000US37067003003,"Census Tract 30.03, Forsyth County, North Carolina",67036,null,18596,null
1400000US37067003004,"Census Tract 30.04, Forsyth County, North Carolina",74444,null,12714,null
1400000US37067003103,"Census Tract 31.03, Forsyth County, North Carolina",85573,null,31007,null
1400000US37067003105,"Census Tract 31.05, Forsyth County, North Carolina",55987,null,23896,null
1400000US37067003106,"Census Tract 31.06, Forsyth County, North Carolina",63281,null,25428,null
1400000US37067003107,"Census Tract 31.07, Forsyth County, North Carolina",72823,null,9103,null
1400000US37067003108,"Census Tract 31.08, Forsyth County, North Carolina",40404,null,18342,null
1400000US37067003201,"Census Tract 32.01, Forsyth County, North Carolina",73516,null,12822,null
1400000US37067003202,"Census Tract 32.02, Forsyth County, North Carolina",41465,null,5788,null
1400000US37067003307,"Census Tract 33.07, Forsyth County, North Carolina",67431,null,10932,null
1400000US37067003308,"Census Tract 33.08, Forsyth County, North Carolina",91791,null,6108,null
1400000US37067003309,"Census Tract 33.09, Forsyth County, North Carolina",38191,null,8753,null
1400000US37067003310,"Census Tract 33.10, Forsyth County, North Carolina",66653,null,14151,null
1400000US37067003311,"Census Tract 33.11, Forsyth County, North Carolina",76719,null,19731,null
1400000US37067003312,"Census Tract 33.12, Forsyth County, North Carolina",63702,null,9900,null
1400000US37067003313,"Census Tract 33.13, Forsyth County, North Carolina",69286,null,16311,null
1400000US37067003314,"Census Tract 33.14, Forsyth County, North Carolina",73056,null,4934,null
1400000US37067003315,"Census Tract 33.15, Forsyth County, North Carolina",52679,null,11299,null
1400000US37067003402,"Census Tract 34.02, Forsyth County, North Carolina",78304,null,18425,null
1400000US37067003403,"Census Tract 34.03, Forsyth County, North Carolina",34375,null,7008,null
1400000US37067003404,"Census Tract 34.04, Forsyth County, North Carolina",32348,null,5173,null
1400000US37067003500,"Census Tract 35, Forsyth County, North Carolina",26354,null,18101,null
1400000US37067003600,"Census Tract 36, Forsyth County, North Carolina",57113,null,7805,null
1400000US37067003701,"Census Tract 37.01, Forsyth County, North Carolina",29242,null,8138,null
1400000US37067003702,"Census Tract 37.02, Forsyth County, North Carolina",63623,null,9789,null
1400000US37067003703,"Census Tract 37.03, Forsyth County, North Carolina",66186,null,13574,null
1400000US37067003803,"Census Tract 38.03, Forsyth County, North Carolina",59029,null,11243,null
1400000US37067003804,"Census Tract 38.04, Forsyth County, North Carolina",51750,null,5885,null
1400000US37067003805,"Census Tract 38.05, Forsyth County, North Carolina",50467,null,6143,null
1400000US37067003806,"Census Tract 38.06, Forsyth County, North Carolina",54545,null,16942,null
1400000US37067003903,"Census Tract 39.03, Forsyth County, North Carolina",38516,null,9196,null
1400000US37067003904,"Census Tract 39.04, Forsyth County, North Carolina",68205,null,13213,null
1400000US37067003905,"Census Tract 39.05, Forsyth County, North Carolina",44157,null,10036,null
1400000US37067003906,"Census Tract 39.06, Forsyth County, North Carolina",131406,null,16697,null
1400000US37067003908,"Census Tract 39.08, Forsyth County, North Carolina",132303,null,29196,null
1400000US37067003909,"Census Tract 39.09, Forsyth County, North Carolina",92697,null,9556,null
1400000US37067004005,"Census Tract 40.05, Forsyth County, North Carolina",90082,null,11795,null
1400000US37067004007,"Census Tract 40.07, Forsyth County, North Carolina",110362,null,16108,null
1400000US37067004009,"Census Tract 40.09, Forsyth County, North Carolina",92829,null,23731,null
1400000US37067004010,"Census Tract 40.10, Forsyth County, North Carolina",132321,null,25549,null
1400000US37067004011,"Census Tract 40.11, Forsyth County, North Carolina",85313,null,7784,null
1400000US37067004012,"Census Tract 40.12, Forsyth County, North Carolina",62925,null,12689,null
1400000US37067004013,"Census Tract 40.13, Forsyth County, North Carolina",64413,null,15228,null
1400000US37067004014,"Census Tract 40.14, Forsyth County, North Carolina",64044,null,21879,null
1400000US37067004015,"Census Tract 40.15, Forsyth County, North Carolina",85769,null,15638,null
1400000US37067004102,"Census Tract 41.02, Forsyth County, North Carolina",60776,null,20564,null
1400000US37067004103,"Census Tract 41.03, Forsyth County, North Carolina",89107,null,10833,null
1400000US37067004104,"Census Tract 41.04, Forsyth County, North Carolina",98462,null,21518,null
1400000US37069060100,"Census Tract 601, Franklin County, North Carolina",48679,null,10543,null
1400000US37069060200,"Census Tract 602, Franklin County, North Carolina",51396,null,9575,null
1400000US37069060301,"Census Tract 603.01, Franklin County, North Carolina",52377,null,17659,null
1400000US37069060302,"Census Tract 603.02, Franklin County, North Carolina",46364,null,22816,null
1400000US37069060401,"Census Tract 604.01, Franklin County, North Carolina",58824,null,13101,null
1400000US37069060403,"Census Tract 604.03, Franklin County, North Carolina",46138,null,10215,null
1400000US37069060404,"Census Tract 604.04, Franklin County, North Carolina",39391,null,23507,null
1400000US37069060501,"Census Tract 605.01, Franklin County, North Carolina",76696,null,8309,null
1400000US37069060502,"Census Tract 605.02, Franklin County, North Carolina",96765,null,3947,null
1400000US37069060601,"Census Tract 606.01, Franklin County, North Carolina",89338,null,11800,null
1400000US37069060602,"Census Tract 606.02, Franklin County, North Carolina",49340,null,13348,null
1400000US37069060701,"Census Tract 607.01, Franklin County, North Carolina",52899,null,12497,null
1400000US37069060702,"Census Tract 607.02, Franklin County, North Carolina",27410,null,25684,null
1400000US37069060703,"Census Tract 607.03, Franklin County, North Carolina",91250,null,58893,null
1400000US37069060801,"Census Tract 608.01, Franklin County, North Carolina",50313,null,9956,null
1400000US37069060802,"Census Tract 608.02, Franklin County, North Carolina",57102,null,15880,null
1400000US37071030103,"Census Tract 301.03, Gaston County, North Carolina",38173,null,18192,null
1400000US37071030104,"Census Tract 301.04, Gaston County, North Carolina",96042,null,12436,null
1400000US37071030105,"Census Tract 301.05, Gaston County, North Carolina",80603,null,22885,null
1400000US37071030106,"Census Tract 301.06, Gaston County, North Carolina",76898,null,62190,null
1400000US37071030205,"Census Tract 302.05, Gaston County, North Carolina",55764,null,10008,null
1400000US37071030206,"Census Tract 302.06, Gaston County, North Carolina",82734,null,22162,null
1400000US37071030207,"Census Tract 302.07, Gaston County, North Carolina",67361,null,34565,null
1400000US37071030208,"Census Tract 302.08, Gaston County, North Carolina",86389,null,28403,null
1400000US37071030209,"Census Tract 302.09, Gaston County, North Carolina",57358,null,16671,null
1400000US37071030301,"Census Tract 303.01, Gaston County, North Carolina",62604,null,15919,null
1400000US37071030302,"Census Tract 303.02, Gaston County, North Carolina",41279,null,10384,null
1400000US37071030401,"Census Tract 304.01, Gaston County, North Carolina",64749,null,8585,null
1400000US37071030403,"Census Tract 304.03, Gaston County, North Carolina",56250,null,20257,null
1400000US37071030404,"Census Tract 304.04, Gaston County, North Carolina",79688,null,19135,null
1400000US37071030501,"Census Tract 305.01, Gaston County, North Carolina",54265,null,12712,null
1400000US37071030503,"Census Tract 305.03, Gaston County, North Carolina",42903,null,24005,null
1400000US37071030504,"Census Tract 305.04, Gaston County, North Carolina",51250,null,21802,null
1400000US37071030601,"Census Tract 306.01, Gaston County, North Carolina",46875,null,10567,null
1400000US37071030602,"Census Tract 306.02, Gaston County, North Carolina",41731,null,18328,null
1400000US37071030700,"Census Tract 307, Gaston County, North Carolina",57663,null,15496,null
1400000US37071030801,"Census Tract 308.01, Gaston County, North Carolina",52885,null,28710,null
1400000US37071030802,"Census Tract 308.02, Gaston County, North Carolina",38276,null,5667,null
1400000US37071030901,"Census Tract 309.01, Gaston County, North Carolina",45100,null,10606,null
1400000US37071030902,"Census Tract 309.02, Gaston County, North Carolina",52771,null,7058,null
1400000US37071031001,"Census Tract 310.01, Gaston County, North Carolina",25833,null,18327,null
1400000US37071031004,"Census Tract 310.04, Gaston County, North Carolina",43346,null,13762,null
1400000US37071031005,"Census Tract 310.05, Gaston County, North Carolina",72788,null,14426,null
1400000US37071031006,"Census Tract 310.06, Gaston County, North Carolina",84740,null,34045,null
1400000US37071031101,"Census Tract 311.01, Gaston County, North Carolina",59524,null,18861,null
1400000US37071031102,"Census Tract 311.02, Gaston County, North Carolina",49261,null,12561,null
1400000US37071031202,"Census Tract 312.02, Gaston County, North Carolina",40089,null,11827,null
1400000US37071031203,"Census Tract 312.03, Gaston County, North Carolina",79028,null,8430,null
1400000US37071031204,"Census Tract 312.04, Gaston County, North Carolina",50625,null,19563,null
1400000US37071031301,"Census Tract 313.01, Gaston County, North Carolina",64947,null,12084,null
1400000US37071031303,"Census Tract 313.03, Gaston County, North Carolina",43013,null,4999,null
1400000US37071031304,"Census Tract 313.04, Gaston County, North Carolina",36418,null,29313,null
1400000US37071031401,"Census Tract 314.01, Gaston County, North Carolina",50605,null,11173,null
1400000US37071031402,"Census Tract 314.02, Gaston County, North Carolina",58482,null,5268,null
1400000US37071031500,"Census Tract 315, Gaston County, North Carolina",28333,null,10395,null
1400000US37071031600,"Census Tract 316, Gaston County, North Carolina",52256,null,11866,null
1400000US37071031703,"Census Tract 317.03, Gaston County, North Carolina",62228,null,16909,null
1400000US37071031704,"Census Tract 317.04, Gaston County, North Carolina",58026,null,9139,null
1400000US37071031705,"Census Tract 317.05, Gaston County, North Carolina",52164,null,4977,null
1400000US37071031706,"Census Tract 317.06, Gaston County, North Carolina",44896,null,19107,null
1400000US37071031800,"Census Tract 318, Gaston County, North Carolina",30970,null,5829,null
1400000US37071031901,"Census Tract 319.01, Gaston County, North Carolina",32292,null,4727,null
1400000US37071031902,"Census Tract 319.02, Gaston County, North Carolina",19908,null,14611,null
1400000US37071032000,"Census Tract 320, Gaston County, North Carolina",33958,null,9970,null
1400000US37071032100,"Census Tract 321, Gaston County, North Carolina",27765,null,15326,null
1400000US37071032201,"Census Tract 322.01, Gaston County, North Carolina",57057,null,16893,null
1400000US37071032202,"Census Tract 322.02, Gaston County, North Carolina",71008,null,15747,null
1400000US37071032301,"Census Tract 323.01, Gaston County, North Carolina",69344,null,5381,null
1400000US37071032302,"Census Tract 323.02, Gaston County, North Carolina",36184,null,15205,null
1400000US37071032403,"Census Tract 324.03, Gaston County, North Carolina",84329,null,19032,null
1400000US37071032404,"Census Tract 324.04, Gaston County, North Carolina",88269,null,49598,null
1400000US37071032405,"Census Tract 324.05, Gaston County, North Carolina",114954,null,15362,null
1400000US37071032406,"Census Tract 324.06, Gaston County, North Carolina",123977,null,35521,null
1400000US37071032505,"Census Tract 325.05, Gaston County, North Carolina",53464,null,10864,null
1400000US37071032506,"Census Tract 325.06, Gaston County, North Carolina",64704,null,23952,null
1400000US37071032507,"Census Tract 325.07, Gaston County, North Carolina",91259,null,3748,null
1400000US37071032508,"Census Tract 325.08, Gaston County, North Carolina",85602,null,11812,null
1400000US37071032509,"Census Tract 325.09, Gaston County, North Carolina",111897,null,24677,null
1400000US37071032510,"Census Tract 325.10, Gaston County, North Carolina",111625,null,7966,null
1400000US37071032600,"Census Tract 326, Gaston County, North Carolina",84250,null,9645,null
1400000US37071032702,"Census Tract 327.02, Gaston County, North Carolina",60278,null,10862,null
1400000US37071032703,"Census Tract 327.03, Gaston County, North Carolina",55833,null,10348,null
1400000US37071032704,"Census Tract 327.04, Gaston County, North Carolina",53091,null,6053,null
1400000US37071032801,"Census Tract 328.01, Gaston County, North Carolina",40814,null,14164,null
1400000US37071032802,"Census Tract 328.02, Gaston County, North Carolina",24526,null,10750,null
1400000US37071032900,"Census Tract 329, Gaston County, North Carolina",47972,null,4214,null
1400000US37071033100,"Census Tract 331, Gaston County, North Carolina",45703,null,20511,null
1400000US37071033202,"Census Tract 332.02, Gaston County, North Carolina",70868,null,7940,null
1400000US37071033203,"Census Tract 332.03, Gaston County, North Carolina",46333,null,10571,null
1400000US37071033204,"Census Tract 332.04, Gaston County, North Carolina",34596,null,3141,null
1400000US37071033303,"Census Tract 333.03, Gaston County, North Carolina",111944,null,13475,null
1400000US37071033306,"Census Tract 333.06, Gaston County, North Carolina",78750,null,19695,null
1400000US37071033308,"Census Tract 333.08, Gaston County, North Carolina",47237,null,22071,null
1400000US37071033309,"Census Tract 333.09, Gaston County, North Carolina",74803,null,18906,null
1400000US37071033310,"Census Tract 333.10, Gaston County, North Carolina",65809,null,14961,null
1400000US37071033311,"Census Tract 333.11, Gaston County, North Carolina",65500,null,34869,null
